[0.29564,3.7]
[0.29708,3.69856]
[0.3014,3.69424]
[0.30284,3.6928]
[0.3086,3.68704]
[0.31004,3.6856]
[0.31436,3.68128]
[0.3158,3.67984]
[0.36044,3.6352]
[0.36188,3.63376]
[0.3662,3.62944]
[0.36764,3.628]
[0.3734,3.62224]
[0.37484,3.6208]
[0.37916,3.61648]
[0.3806,3.61504]
[0.41804,3.5776]
[0.41948,3.57616]
[0.4238,3.57184]
[0.42524,3.5704]
[0.42668,3.56896]
[0.431,3.56464]
[0.43244,3.5632]
[0.43676,3.55888]
[0.4382,3.55744]
[0.43964,3.556]
[0.44396,3.55168]
[0.4454,3.55024]
[0.48284,3.5128]
[0.48428,3.51136]
[0.4886,3.50704]
[0.49004,3.5056]
[0.4958,3.49984]
[0.49724,3.4984]
[0.50156,3.49408]
[0.503,3.49264]
[1.02464,2.971]
[1.02608,2.96956]
[1.0304,2.96524]
[1.03184,2.9638]
[1.0376,2.95804]
[1.03904,2.9566]
[1.04336,2.95228]
[1.0448,2.95084]
[1.08944,2.9062]
[1.09088,2.90476]
[1.0952,2.90044]
[1.09664,2.899]
[1.1024,2.89324]
[1.10384,2.89]
[1.10384,2.8918]
[1.10528,2.88856]
[1.10816,2.88748]
[1.1096,2.88424]
[1.1096,2.88604]
[1.11104,2.8828]
[1.1168,2.87704]
[1.11824,2.8756]
[1.12256,2.87128]
[1.124,2.86984]
[1.14704,2.8486]
[1.14848,2.84716]
[1.1528,2.84284]
[1.15424,2.8414]
[1.15568,2.83996]
[1.16,2.83564]
[1.16144,2.8342]
[1.16576,2.82988]
[1.1672,2.82844]
[1.16864,2.827]
[1.17008,2.82376]
[1.17296,2.82268]
[1.1744,2.82124]
[1.1744,2.81944]
[1.17584,2.818]
[1.1816,2.81224]
[1.18304,2.8108]
[1.18736,2.80648]
[1.1888,2.80504]
[1.19328,2.8]
[1.19616,2.79712]
[1.2048,2.78848]
[1.20768,2.7856]
[1.21184,2.7838]
[1.21328,2.78236]
[1.2176,2.77804]
[1.21904,2.7766]
[1.2192,2.77408]
[1.22208,2.7712]
[1.2248,2.77084]
[1.22624,2.7694]
[1.22768,2.76616]
[1.23056,2.76508]
[1.232,2.76364]
[1.23344,2.7604]
[1.2336,2.75968]
[1.23488,2.75896]
[1.2392,2.75464]
[1.24064,2.7532]
[1.24496,2.74888]
[1.2464,2.74744]
[1.24784,2.746]
[1.25088,2.7424]
[1.25216,2.74168]
[1.2536,2.74024]
[1.25376,2.73952]
[1.2624,2.73088]
[1.26528,2.728]
[1.2768,2.71648]
[1.27968,2.7136]
[1.28832,2.70496]
[1.2912,2.70208]
[1.29824,2.6956]
[1.29968,2.69416]
[1.304,2.68984]
[1.30544,2.6884]
[1.3112,2.68264]
[1.31264,2.6812]
[1.31696,2.67688]
[1.3184,2.67544]
[1.32288,2.6704]
[1.32576,2.66752]
[1.3344,2.65888]
[1.33728,2.656]
[1.3488,2.64448]
[1.35168,2.6416]
[1.35584,2.638]
[1.35728,2.63656]
[1.36032,2.63296]
[1.3616,2.63224]
[1.36304,2.6308]
