# x y z
.0	0	1
.0	.1	2
.0	.2	2
.0	.3	2
.0	.4	2
.0	.5	2
.0	.6	2
.0	.7	2
.0	.8	2
.0	.9	2
.0	1	2

.1	0	2
.1	.1	110
.1	.2	223
.1	.3	244
.1	.4	251
.1	.5	253
.1	.6	252
.1	.7	253
.1	.8	253
.1	.9	243
.1	1	11

.2	0	2
.2	.1	223
.2	.2 258
.2	.3 258
.2	.4 258
.2	.5 258
.2	.6 258
.2	.7 258
.2	.8 258
.2	.9 191
.2	1	11

.3	0	2
.3	.1	244
.3 .2	258
.3	.3 258
.3	.4 258
.3	.5 258
.3	.6 258
.3	.7 258
.3	.8 184
.3	.9 138
.3	1	11

.4	0	2
.4	.1	251
.4 .2	258
.4 .3	258
.4	.4 258
.4	.5 258
.4	.6 258
.4	.7 203
.4	.8 143
.4	.9 94
.4	1	11

.5	0	2
.5	.1	253
.5 .2	258
.5 .3	258
.5 .4	258
.5	.5 258
.5	.6 208
.5	.7 140
.5	.8 94
.5	.9 64
.5	1	11

.6	0	2
.6	.1	252
.6 .2	258
.6 .3	258
.6 .4	258
.6 .5	208
.6	.6 258
.6	.7 179
.6	.8 100
.6	.9 57
.6	1	11

.7	0	2
.7	.1	253
.7 .2	258
.7 .3	258
.7 .4	203
.7 .5	140
.7 .6	179
.7	.7 258
.7	.8 95
.7	.9 55
.7	1	11

.8	0	2
.8	.1	253
.8 .2	258
.8 .3	184
.8 .4	143
.8 .5	94
.8 .6	100
.8 .7	95
.8	.8 258
.8	.9 88
.8	1	11

.9	0	2
.9	.1	243
.9 .2	191
.9 .3	138
.9 .4	94
.9 .5	64
.9 .6	57
.9 .7	55
.9 .8	88
.9	.9 258
.9	1	11

1	0	2
1	.1	9
1	.2	11
1	.3	11
1	.4	11
1	.5	11
1	.6	11
1	.7	11
1	.8	11
1	.9	11
1	1	9
