[0.92896,2.8]
[0.9376,2.79136]
[0.94912,2.77984]
[0.95776,2.7712]
[0.9592,2.76976]
[0.96784,2.76112]
[0.97216,2.7568]
[0.97936,2.7496]
[0.9808,2.74816]
[0.988,2.74096]
[0.99232,2.73664]
[0.99376,2.7352]
[1.00096,2.728]
[1.0024,2.72656]
[1.01104,2.71792]
[1.01392,2.71504]
[1.01536,2.7136]
[1.02256,2.7064]
[1.024,2.70496]
[1.0312,2.69776]
[1.03264,2.69632]
[1.03552,2.69344]
[1.03696,2.692]
[1.04416,2.6848]
[1.0456,2.68336]
[1.0528,2.67616]
[1.05424,2.67472]
[1.05712,2.67184]
[1.06576,2.6632]
[1.0672,2.66176]
[1.0744,2.65456]
[1.07584,2.65312]
[1.08736,2.6416]
[1.096,2.63296]
[1.14496,2.584]
[1.1536,2.57536]
[1.16512,2.56384]
[1.17376,2.5552]
[1.1752,2.55376]
[1.18384,2.54512]
[1.18816,2.5408]
[1.19536,2.5336]
[1.1968,2.53216]
[1.204,2.52496]
[1.20832,2.52064]
[1.20976,2.5192]
[1.21696,2.512]
[1.2184,2.51056]
[1.22704,2.50192]
[1.22992,2.49904]
[1.23136,2.4976]
[1.23856,2.4904]
[1.24,2.48896]
[1.2472,2.48176]
[1.24864,2.48032]
[1.25152,2.47744]
[1.25296,2.476]
[1.26016,2.4688]
[1.2616,2.46736]
[1.2688,2.46016]
[1.27024,2.45872]
[1.27312,2.45584]
[1.28176,2.4472]
[1.2832,2.44576]
[1.2904,2.43856]
[1.29184,2.43712]
[1.29616,2.4328]
[1.30336,2.4256]
[1.3048,2.42416]
[1.312,2.41696]
[1.31632,2.41264]
[1.31776,2.4112]
[1.32496,2.404]
[1.3264,2.40256]
[1.33504,2.39392]
[1.33792,2.39104]
[1.33936,2.3896]
[1.34656,2.3824]
[1.348,2.38096]
[1.3552,2.37376]
[1.35664,2.37232]
[1.35952,2.36944]
[1.36096,2.368]
[1.36816,2.3608]
[1.3696,2.35936]
[1.3768,2.35216]
[1.37824,2.35072]
[1.38112,2.34784]
[1.38976,2.3392]
[1.3912,2.33776]
[1.3984,2.33056]
[1.39984,2.32912]
[1.41136,2.3176]
[1.42,2.30896]
[1.42072,2.25784]
[1.42216,2.2564]
[1.42864,2.24992]
[1.42936,2.2492]
[1.4308,2.24776]
[1.43152,2.24704]
[1.438,2.24056]
[1.43944,2.23912]
[1.44016,2.2384]
[1.4416,2.23696]
[1.44232,2.23624]
[1.44376,2.2348]
[1.4488,2.22976]
[1.45024,2.22832]
[1.45096,2.2276]
[1.4524,2.22616]
[1.4596,2.21896]
[1.46104,2.21752]
[1.46176,2.2168]
[1.46392,2.21464]
[1.46536,2.2132]
[1.4704,2.20816]
[1.47256,2.206]
[1.474,2.20456]
[1.47616,2.2024]
[1.4812,2.19736]
[1.48264,2.19592]
[1.4848,2.19376]
[1.48552,2.19304]
[1.48696,2.1916]
[1.49416,2.1844]
[1.4956,2.18296]
[1.49632,2.18224]
[1.5028,2.17576]
[1.50424,2.17432]
[1.50496,2.1736]
[1.5064,2.17216]
