[2.11209,1.8757]
[2.1123,1.87327]
[2.11797,1.8676]
[2.11923,1.86634]
[2.1228,1.86499]
[2.12469,1.8631]
[2.1249,1.86067]
[2.12721,1.86058]
[2.1291,1.85869]
[2.13267,1.8487]
[2.1501,1.83547]
[2.15577,1.8298]
[2.16249,1.8253]
[2.16438,1.82341]
[2.1669,1.82089]
[2.16879,1.819]
[2.169,1.81657]
[2.17047,1.8109]
[2.1795,1.80829]
[2.18139,1.8064]
[2.18391,1.80388]
[2.1858,1.80199]
[2.19357,1.792]
[2.19924,1.78633]
[2.20659,1.7812]
[2.20848,1.77931]
[2.211,1.77679]
[2.21289,1.7749]
[2.2236,1.76419]
[2.22549,1.7623]
[2.22801,1.75978]
[2.2299,1.75789]
[2.23767,1.7479]
[2.24334,1.74223]
[2.2446,1.74097]
[2.25027,1.7353]
[2.2509,1.73467]
[2.25174,1.72963]
[2.25657,1.729]
[2.25783,1.72774]
[2.25804,1.72333]
[2.2635,1.72207]
[2.26497,1.7164]
[2.2656,1.71577]
[2.27589,1.7119]
[2.27778,1.71001]
[2.2803,1.70749]
[2.28219,1.7056]
[2.2887,1.69687]
[2.2929,1.69489]
[2.29479,1.693]
[2.29731,1.69048]
[2.2992,1.68859]
[2.30193,1.68364]
[2.30277,1.6786]
[2.3076,1.67797]
[2.30907,1.6723]
[2.31033,1.67104]
[2.316,1.66537]
[2.31663,1.66474]
[2.3223,1.65907]
[2.33259,1.6552]
[2.33448,1.65331]
[2.337,1.65079]
[2.33889,1.6489]
[2.3496,1.63819]
[2.35149,1.6363]
[2.35401,1.63378]
[2.3559,1.63189]
[2.36367,1.6219]
[2.36934,1.61623]
[2.37669,1.6111]
[2.37858,1.60921]
[2.3811,1.60669]
[2.38299,1.6048]
[2.38467,1.5967]
[2.3937,1.59409]
[2.39559,1.5922]
[2.39811,1.58968]
[2.4,1.58779]
[2.40777,1.5778]
[2.41344,1.57213]
[2.4147,1.57087]
[2.42037,1.5652]
[2.421,1.56457]
[2.42667,1.5589]
[2.42793,1.55764]
[2.42814,1.55323]
[2.4336,1.55197]
[2.4357,1.54567]
[2.44137,1.54]
[2.44893,1.53244]
[2.4588,1.52677]
[2.46447,1.5211]
[2.47203,1.51354]
[2.4777,1.50787]
[2.47917,1.5022]
[2.48673,1.49464]
[2.49597,1.4896]
[2.50164,1.48393]
[2.5092,1.47637]
[2.51487,1.4707]
[2.54007,1.4455]
[2.54574,1.43983]
[2.547,1.43857]
[2.55267,1.4329]
[2.5533,1.43227]
[2.55897,1.4266]
[2.56023,1.42534]
[2.56044,1.42093]
[2.5659,1.41967]
[2.568,1.41337]
[2.57367,1.4077]
[2.5911,1.39447]
[2.59677,1.3888]
[2.60433,1.38124]
[2.61,1.37557]
[2.61147,1.3699]
[2.61427,1.3671]
[2.61903,1.36234]
[2.6247,1.35667]
[2.6464,1.33497]
[2.65207,1.3293]
[2.65963,1.32174]
[2.6653,1.31607]
[2.68707,1.2943]
[2.69274,1.28863]
[2.7003,1.28107]
[2.70597,1.2754]
[2.72767,1.2537]
[2.73334,1.24803]
[2.7381,1.24327]
[2.7409,1.24047]
[2.74377,1.2376]
[2.74657,1.2348]
[2.75133,1.23004]
[2.757,1.22437]
[2.76547,1.2159]
[2.77114,1.21023]
[2.7787,1.20267]
[2.78437,1.197]
[2.79193,1.18944]
[2.7976,1.18377]
[2.8165,1.16487]
[2.82217,1.1592]
[2.82973,1.15164]
[2.8354,1.14597]
[2.89777,1.0836]
[2.90344,1.07793]
[2.911,1.07037]
[2.91667,1.0647]
[2.9488,1.03257]
[2.95447,1.0269]
[2.96203,1.01934]
[2.9677,1.01367]
[3.03007,0.9513]
[3.03574,0.94563]
[3.0433,0.93807]
[3.04897,0.9324]
[3.0811,0.90027]
[3.08677,0.8946]
[3.09433,0.88704]
[3.1,0.88137]

action 0
	{
	[0.197,2.8]
	[0.26,2.737]
	[1.007,1.99]
	[1.07,1.927]
	[1.091,1.9]
	[1.28,1.711]
	[1.637,1.36]
	[1.7,1.297]
	[1.721,1.27]
	[1.91,1.081]
	[2.211,0.78]
	[2.4,0.591]
	}
action 1
	{
	[1.18557,2.8]
	[1.19124,2.79433]
	[1.1988,2.78677]
	[1.20447,2.7811]
	[1.22967,2.7559]
	[1.23534,2.75023]
	[1.2366,2.74897]
	[1.24227,2.7433]
	[1.2429,2.74267]
	[1.24857,2.737]
	[1.24983,2.73574]
	[1.2555,2.73007]
	[1.2807,2.70487]
	[1.28637,2.6992]
	[1.29393,2.69164]
	[1.2996,2.68597]
	[1.35567,2.6299]
	[1.36134,2.62423]
	[1.3689,2.61667]
	[1.37457,2.611]
	[1.39977,2.5858]
	[1.40544,2.58013]
	[1.4067,2.57887]
	[1.41237,2.5732]
	[1.413,2.57257]
	[1.41867,2.5669]
	[1.41993,2.56564]
	[1.4256,2.55997]
	[1.4508,2.53477]
	[1.45647,2.5291]
	[1.46403,2.52154]
	[1.4697,2.51587]
	[1.48797,2.4976]
	[1.49364,2.49193]
	[1.5012,2.48437]
	[1.50687,2.4787]
	[1.53207,2.4535]
	[1.53774,2.44783]
	[1.539,2.44657]
	[1.54467,2.4409]
	[1.5453,2.44027]
	[1.55097,2.4346]
	[1.55223,2.43334]
	[1.5579,2.42767]
	[1.5831,2.40247]
	[1.58877,2.3968]
	[1.59633,2.38924]
	[1.602,2.38357]
	[1.75257,2.233]
	[1.75824,2.22733]
	[1.7658,2.21977]
	[1.77147,2.2141]
	[1.79667,2.1889]
	[1.80234,2.18323]
	[1.8036,2.18197]
	[1.80927,2.1763]
	[1.8099,2.17567]
	[1.81557,2.17]
	[1.81683,2.16874]
	[1.81704,2.16433]
	[1.8225,2.16307]
	[1.8246,2.15677]
	[1.83027,2.1511]
	[1.8477,2.13787]
	[1.85337,2.1322]
	[1.86093,2.12464]
	[1.8666,2.11897]
	[1.86807,2.1133]
	[1.87563,2.10574]
	[1.8813,2.10007]
	[1.92267,2.0629]
	[1.92834,2.05723]
	[1.9359,2.04967]
	[1.94157,2.044]
	[1.94367,2.0377]
	[1.94934,2.03203]
	[1.9569,2.02447]
	[1.96677,2.0188]
	[1.97244,2.01313]
	[1.9737,2.01187]
	[1.97937,2.0062]
	[1.98,2.00557]
	[1.98567,1.9999]
	[1.98693,1.99864]
	[1.98714,1.99423]
	[1.9926,1.99297]
	[1.9947,1.98667]
	[2.00037,1.981]
	[2.00793,1.97344]
	[2.0178,1.96777]
	[2.02347,1.9621]
	[2.03103,1.95454]
	[2.0367,1.94887]
	[2.03817,1.9432]
	[2.04573,1.93564]
	[2.05497,1.9306]
	[2.06064,1.92493]
	[2.0682,1.91737]
	[2.07387,1.9117]
	[2.09907,1.8865]
	[2.10474,1.88083]
	[2.106,1.87957]
	[2.11167,1.8739]
	[2.1123,1.87327]
	[2.11797,1.8676]
	[2.11923,1.86634]
	[2.11944,1.86193]
	[2.1249,1.86067]
	[2.127,1.85437]
	[2.13267,1.8487]
	[2.1501,1.83547]
	[2.15577,1.8298]
	[2.16333,1.82224]
	[2.169,1.81657]
	[2.17047,1.8109]
	[2.17803,1.80334]
	[2.1837,1.79767]
	[2.19357,1.792]
	[2.19924,1.78633]
	[2.2068,1.77877]
	[2.21247,1.7731]
	[2.23767,1.7479]
	[2.24334,1.74223]
	[2.2446,1.74097]
	[2.25027,1.7353]
	[2.2509,1.73467]
	[2.25174,1.72963]
	[2.25657,1.729]
	[2.25783,1.72774]
	[2.25804,1.72333]
	[2.2635,1.72207]
	[2.26497,1.7164]
	[2.2656,1.71577]
	[2.27127,1.7101]
	[2.2887,1.69687]
	[2.29437,1.6912]
	[2.2971,1.68427]
	[2.30193,1.68364]
	[2.30277,1.6786]
	[2.3076,1.67797]
	[2.30907,1.6723]
	[2.31033,1.67104]
	[2.316,1.66537]
	[2.31663,1.66474]
	[2.3223,1.65907]
	[2.36367,1.6219]
	[2.36934,1.61623]
	[2.3769,1.60867]
	[2.38257,1.603]
	[2.38467,1.5967]
	[2.39034,1.59103]
	[2.3979,1.58347]
	[2.40777,1.5778]
	[2.41344,1.57213]
	[2.4147,1.57087]
	[2.42037,1.5652]
	[2.421,1.56457]
	[2.42667,1.5589]
	[2.42793,1.55764]
	[2.42814,1.55323]
	[2.4336,1.55197]
	[2.4357,1.54567]
	[2.44137,1.54]
	[2.44893,1.53244]
	[2.4588,1.52677]
	[2.46447,1.5211]
	[2.47203,1.51354]
	[2.4777,1.50787]
	[2.47917,1.5022]
	[2.48673,1.49464]
	[2.49597,1.4896]
	[2.50164,1.48393]
	[2.5092,1.47637]
	[2.51487,1.4707]
	[2.54007,1.4455]
	[2.54574,1.43983]
	[2.547,1.43857]
	[2.55267,1.4329]
	[2.5533,1.43227]
	[2.55897,1.4266]
	[2.56023,1.42534]
	[2.56044,1.42093]
	[2.5659,1.41967]
	[2.568,1.41337]
	[2.57367,1.4077]
	[2.5911,1.39447]
	[2.59677,1.3888]
	[2.60433,1.38124]
	[2.61,1.37557]
	[2.61147,1.3699]
	[2.61427,1.3671]
	[2.61903,1.36234]
	[2.6247,1.35667]
	[2.6464,1.33497]
	[2.65207,1.3293]
	[2.65963,1.32174]
	[2.6653,1.31607]
	[2.68707,1.2943]
	[2.69274,1.28863]
	[2.7003,1.28107]
	[2.70597,1.2754]
	[2.72767,1.2537]
	[2.73334,1.24803]
	[2.7381,1.24327]
	[2.7409,1.24047]
	[2.74377,1.2376]
	[2.74657,1.2348]
	[2.75133,1.23004]
	[2.757,1.22437]
	[2.76547,1.2159]
	[2.77114,1.21023]
	[2.7787,1.20267]
	[2.78437,1.197]
	[2.79193,1.18944]
	[2.7976,1.18377]
	[2.8165,1.16487]
	[2.82217,1.1592]
	[2.82973,1.15164]
	[2.8354,1.14597]
	[2.89777,1.0836]
	[2.90344,1.07793]
	[2.911,1.07037]
	[2.91667,1.0647]
	[2.9488,1.03257]
	[2.95447,1.0269]
	[2.96203,1.01934]
	[2.9677,1.01367]
	[3.03007,0.9513]
	[3.03574,0.94563]
	[3.0433,0.93807]
	[3.04897,0.9324]
	[3.0811,0.90027]
	[3.08677,0.8946]
	[3.09433,0.88704]
	[3.1,0.88137]
	}
action 2
	{
	[0.29319,3.7]
	[0.29508,3.69811]
	[0.2976,3.69559]
	[0.29949,3.6937]
	[0.3102,3.68299]
	[0.31209,3.6811]
	[0.31461,3.67858]
	[0.3165,3.67669]
	[0.34989,3.6433]
	[0.35178,3.64141]
	[0.3543,3.63889]
	[0.35619,3.637]
	[0.3669,3.62629]
	[0.36879,3.6244]
	[0.37131,3.62188]
	[0.3732,3.61999]
	[0.39399,3.5992]
	[0.39588,3.59731]
	[0.3984,3.59479]
	[0.40029,3.5929]
	[0.40659,3.5866]
	[0.40848,3.58471]
	[0.411,3.58219]
	[0.41289,3.5803]
	[0.41541,3.57778]
	[0.4173,3.57589]
	[0.4236,3.56959]
	[0.42549,3.5677]
	[0.42801,3.56518]
	[0.4299,3.56329]
	[0.45069,3.5425]
	[0.45258,3.54061]
	[0.4551,3.53809]
	[0.45699,3.5362]
	[0.4677,3.52549]
	[0.46959,3.5236]
	[0.47211,3.52108]
	[0.474,3.51919]
	[1.02219,2.971]
	[1.02408,2.96911]
	[1.0266,2.96659]
	[1.02849,2.9647]
	[1.0392,2.95399]
	[1.04109,2.9521]
	[1.04361,2.94958]
	[1.0455,2.94769]
	[1.07889,2.9143]
	[1.08078,2.91241]
	[1.0833,2.90989]
	[1.08519,2.908]
	[1.0959,2.89729]
	[1.09779,2.8954]
	[1.10031,2.89288]
	[1.1022,2.89099]
	[1.10409,2.8837]
	[1.1148,2.87299]
	[1.11669,2.8711]
	[1.12299,2.8702]
	[1.12488,2.86831]
	[1.1274,2.86579]
	[1.12929,2.8639]
	[1.13559,2.8576]
	[1.13748,2.85571]
	[1.14,2.85319]
	[1.14189,2.8513]
	[1.14441,2.84878]
	[1.1463,2.84689]
	[1.1526,2.84059]
	[1.15449,2.8387]
	[1.15701,2.83618]
	[1.1589,2.83429]
	[1.16079,2.827]
	[1.1715,2.81629]
	[1.17339,2.8144]
	[1.17969,2.8135]
	[1.18158,2.81161]
	[1.1841,2.80909]
	[1.18599,2.8072]
	[1.1967,2.79649]
	[1.19859,2.7946]
	[1.20111,2.79208]
	[1.203,2.79019]
	[1.20489,2.7829]
	[1.2156,2.77219]
	[1.21749,2.7703]
	[1.22001,2.76778]
	[1.2219,2.76589]
	[1.26789,2.7199]
	[1.26978,2.71801]
	[1.2723,2.71549]
	[1.27419,2.7136]
	[1.2849,2.70289]
	[1.28679,2.701]
	[1.28931,2.69848]
	[1.2912,2.69659]
	[1.32459,2.6632]
	[1.32648,2.66131]
	[1.329,2.65879]
	[1.33089,2.6569]
	[1.3416,2.64619]
	[1.34349,2.6443]
	[1.34601,2.64178]
	[1.3479,2.63989]
	[1.36869,2.6191]
