1.156	1.42016	1
1.156	1.42246	0
1.1572	1.084	1.5
1.15773	1.42016	0
1.159	1.03	1.575
1.159	1.06	1.53
1.16032	1.4144	1
1.16032	1.41613	0
1.16125	0	1.61812
1.16125	1	1.6125
1.1614	1.4	1.018
1.16162	1.4144	0
1.16463	0	1.6125
1.1668	1.4	1.0054
1.1668	1.40432	1
1.1668	1.40605	0
1.168	1.06	1.509
1.168	1.0672	1.5
1.1681	1.40432	0
1.17004	1.4	1
1.17004	1.4013	0
1.17101	1.4	0
1.1725	0	1.59188
1.1725	1	1.58625
1.1725	1.009	1.575
1.1734	1.06	1.5
1.17587	0	1.58625
1.17925	0	1.57837
1.17925	1	1.575
1.18128	0	1.575
1.195	0	1.53938
1.195	1	1.53375
1.195	1.009	1.5225
1.195	1.018	1.509
1.195	1.0252	1.5
1.19837	0	1.53375
1.2004	1.018	1.5
1.20175	0	1.52587
1.20175	1	1.5225
1.20378	0	1.5225
1.2085	0	1.51012
1.2085	1	1.50675
1.2085	1.0054	1.5
1.21053	0	1.50675
1.21255	0	1.50203
1.21255	1	1.5
1.21377	0	1.5
1.3	0	1.29062
1.3	1	1.28125
1.3	1.015	1.2625
1.3	1.03	1.24
1.3	1.042	1.225
1.3	1.06	1.195
1.3	1.072	1.18
1.3	1.084	1.162
1.3	1.0936	1.15
1.3	1.12	1.105
1.3	1.132	1.09
1.3	1.144	1.072
1.3	1.1536	1.06
1.3	1.168	1.036
1.3	1.1776	1.024
1.3	1.1872	1.0096
1.3	1.19488	1
1.3	1.19795	0
1.3023	1.19488	0
1.30562	0	1.28125
1.30576	1.1872	1
1.30576	1.1895	0
1.3072	1.084	1.15
1.3072	1.144	1.06
1.3072	1.168	1.024
1.30749	1.1872	0
1.309	1.03	1.225
1.309	1.06	1.18
1.309	1.12	1.09
1.31125	0	1.26813
1.31125	1	1.2625
1.3144	1.168	1.0072
1.3144	1.17376	1
1.3144	1.17606	0
1.31463	0	1.2625
1.31613	1.17376	0
1.318	1.06	1.159
1.318	1.0672	1.15
1.318	1.12	1.069
1.318	1.1272	1.06
1.31872	1.168	1
1.31872	1.16973	0
1.32002	1.168	0
1.3225	0	1.24188
1.3225	1	1.23625
1.3225	1.009	1.225
1.3234	1.06	1.15
1.3234	1.12	1.06
1.32588	0	1.23625
1.32925	0	1.22837
1.32925	1	1.225
1.33127	0	1.225
1.336	1.12	1.027
1.336	1.1272	1.018
1.336	1.1344	1.0072
1.336	1.14016	1
1.336	1.14246	0
1.33773	1.14016	0
1.34032	1.1344	1
1.34032	1.13613	0
1.3414	1.12	1.018
1.34162	1.1344	0
1.345	0	1.18938
1.345	1	1.18375
1.345	1.009	1.1725
1.345	1.018	1.159
1.345	1.0252	1.15
1.3468	1.12	1.0054
1.3468	1.12432	1
1.3468	1.12605	0
1.3481	1.12432	0
1.34838	0	1.18375
1.35004	1.12	1
1.35004	1.1213	0
1.3504	1.018	1.15
1.35101	1.12	0
1.35175	0	1.17587
1.35175	1	1.1725
1.35378	0	1.1725
1.3585	0	1.16013
1.3585	1	1.15675
1.3585	1.0054	1.15
1.36053	0	1.15675
1.36255	0	1.15202
1.36255	1	1.15
1.36377	0	1.15
1.39	0	1.08438
1.39	1	1.07875
1.39	1.009	1.0675
1.39	1.018	1.054
1.39	1.0252	1.045
1.39	1.036	1.027
1.39	1.0432	1.018
1.39	1.0504	1.0072
1.39	1.05616	1
1.39	1.05846	0
1.39173	1.05616	0
1.39338	0	1.07875
1.39432	1.0504	1
1.39432	1.05213	0
1.3954	1.018	1.045
1.3954	1.036	1.018
1.39562	1.0504	0
1.39675	0	1.07088
1.39675	1	1.0675
1.39877	0	1.0675
1.4008	1.036	1.0054
1.4008	1.04032	1
1.4008	1.04205	0
1.4021	1.04032	0
1.4035	0	1.05512
1.4035	1	1.05175
1.4035	1.0054	1.045
1.40404	1.036	1
1.40404	1.0373	0
1.40501	1.036	0
1.40552	0	1.05175
1.40755	0	1.04702
1.40755	1	1.045
1.40877	0	1.045
1.417	0	1.02363
1.417	1	1.02025
1.417	1.0054	1.0135
1.417	1.0108	1.0054
1.417	1.01512	1
1.417	1.01685	0
1.4183	1.01512	0
1.41902	0	1.02025
1.42024	1.0108	1
1.42024	1.0121	0
1.42105	0	1.01552
1.42105	1	1.0135
1.42121	1.0108	0
1.42227	0	1.0135
1.4251	0	1.00608
1.4251	1	1.00405
1.4251	1.00324	1
1.4251	1.00454	0
1.42607	1.00324	0
1.42632	0	1.00405
1.42753	0	1.00121
1.42753	1	1
1.42753	1.00097	0
1.42826	0	1
1.42826	1	0
1.42848	0	0
